gene,essential,comment
H16_A0136,yes,
H16_A0169,yes,
H16_A0208,yes,
H16_A0230,yes,
H16_A0238,yes,
H16_A0239,yes,
H16_A0243,yes,
H16_A0244,yes,
H16_A0259,yes,
H16_A0262,yes,
H16_A0263,yes,
H16_A0332,yes,
H16_A0367,yes,
H16_A0372,yes,
H16_A0374,yes,
H16_A0445,yes,
H16_A0566,yes,
H16_A0568,yes,
H16_A0570,yes,
H16_A0603,yes,
H16_A0604,yes,
H16_A0606,yes,
H16_A0734,yes,
H16_A0746,yes,
H16_A0749,yes,
H16_A0753,yes,
H16_A0787,yes,
H16_A0791,yes,
H16_A0913,yes,
H16_A0914,yes,
H16_A0953,yes,
H16_A0999,yes,
H16_A1035,yes,
H16_A1038,yes,
H16_A1039,yes,
H16_A1047,yes,
H16_A1050,yes,
H16_A1051,yes,
H16_A1052,yes,
H16_A1053,yes,
H16_A1055,yes,
H16_A1056,yes,
H16_A1057,yes,
H16_A1058,yes,
H16_A1063,yes,
H16_A1132,yes,
H16_A1134,yes,
H16_A1185,yes,
H16_A1186,yes,
H16_A1188,yes,
H16_A1204,yes,
H16_A1214,yes,
H16_A1216,yes,
H16_A1217,yes,
H16_A1223,yes,
H16_A1225,yes,
H16_A1370,yes,
H16_A1452,yes,
H16_A1456,yes,
H16_A1457,yes,
H16_A1475,yes,
H16_A1547,yes,
H16_A1550,yes,
H16_A1569,yes,
H16_A1681,yes,
H16_A1682,yes,
H16_A1906,yes,
H16_A1973,yes,
H16_A2028,yes,
H16_A2030,yes,
H16_A2042,yes,
H16_A2043,yes,
H16_A2045,yes,
H16_A2049,yes,
H16_A2051,yes,
H16_A2053,yes,
H16_A2066,yes,
H16_A2069,yes,
H16_A2086,yes,
H16_A2265,yes,
H16_A2324,yes,
H16_A2325,yes,
H16_A2335,yes,
H16_A2345,yes,
H16_A2354,yes,
H16_A2364,yes,
H16_A2368,yes,
H16_A2403,yes,
H16_A2445,yes,
H16_A2446,yes,
H16_A2452,yes,
H16_A2454,yes,
H16_A2508,yes,
H16_A2525,yes,
H16_A2546,yes,
H16_A2552,yes,
H16_A2568,yes,
H16_A2611,yes,
H16_A2618,yes,
H16_A2627,yes,
H16_A2629,yes,
H16_A2630,yes,
H16_A2631,yes,
H16_A2632,yes,
H16_A2703,yes,
H16_A2704,yes,
H16_A2732,yes,
H16_A2744,yes,
H16_A2802,yes,
H16_A2834,yes,
H16_A2848,yes,
H16_A2849,yes,
H16_A2855,yes,
H16_A2883,yes,
H16_A2908,yes,
H16_A2913,yes,
H16_A2920,yes,
H16_A2925,yes,
H16_A2930,yes,
H16_A2959,yes,
H16_A3025,yes,
H16_A3045,yes,
H16_A3048,yes,
H16_A3049,yes,
H16_A3061,yes,
H16_A3063,yes,
H16_A3082,yes,
H16_A3106,yes,
H16_A3107,yes,
H16_A3124,yes,
H16_A3128,yes,
H16_A3141,yes,
H16_A3146,yes,
H16_A3147,yes,
H16_A3154,yes,
H16_A3171,yes,
H16_A3172,yes,
H16_A3234,yes,
H16_A3235,yes,
H16_A3249,yes,
H16_A3253,yes,
H16_A3258,yes,
H16_A3266,yes,
H16_A3271,yes,
H16_A3272,yes,
H16_A3273,yes,
H16_A3275,yes,
H16_A3276,yes,
H16_A3277,yes,
H16_A3278,yes,
H16_A3283,yes,
H16_A3317,yes,
H16_A3339,yes,
H16_A3414,yes,
H16_A3418,yes,
H16_A3443,yes,
H16_A3453,yes,
H16_A3633,yes,
H16_A3637,yes,
H16_A3638,yes,
H16_A3639,yes,
H16_A3640,yes,
H16_A3641,yes,
H16_A3642,yes,
H16_A3643,yes,
H16_B0357,yes,
H16_B0382,yes,
H16_B0420,yes,
H16_B0496,yes,
H16_B0811,yes,
H16_B0834,yes,
H16_B1395,yes,
H16_B1428,yes,
H16_B1769,yes,
H16_B1771,yes,
H16_B1817,yes,
H16_B2265,yes,
H16_B2266,yes,
H16_B2267,yes,
H16_B2531,yes,
H16_A0588,yes,
H16_A1425,yes,
H16_A1544,yes,
H16_A1922,yes,
H16_A1923,yes,
H16_A2050,yes,
H16_A2410,yes,
H16_A2565,yes,
H16_A2567,yes,
H16_A2569,yes,
H16_A2570,yes,
H16_A3241,yes,
H16_A3279,yes,
H16_A3491,yes,
H16_A3501,yes,
H16_A3505,yes,
H16_B0601,yes,
H16_B1287,yes,
H16_B1361,yes,
H16_B1461,yes,
H16_B1896,yes,
H16_A0569,no,
H16_A0571,no,
H16_A0624,no,
H16_A0865,no,
H16_A1259,no,
H16_A1266,no,
H16_A1375,no,
H16_A1715,no,
H16_A1719,no,
H16_A1809,no,
H16_A1963,no,
H16_A1967,no,
H16_A2209,no,
