,gene,essential,comment
0,H16_A0136,yes,
1,H16_A0169,yes,
2,H16_A0208,yes,
3,H16_A0230,yes,
4,H16_A0238,yes,
5,H16_A0239,yes,
6,H16_A0243,yes,
7,H16_A0244,yes,
8,H16_A0259,yes,
9,H16_A0262,yes,
10,H16_A0263,yes,
11,H16_A0332,yes,
12,H16_A0367,yes,
13,H16_A0372,yes,
14,H16_A0374,yes,
15,H16_A0445,yes,
16,H16_A0566,yes,
17,H16_A0568,yes,
18,H16_A0570,yes,
19,H16_A0603,yes,
20,H16_A0604,yes,
21,H16_A0606,yes,
22,H16_A0734,yes,
23,H16_A0746,yes,
24,H16_A0749,yes,
25,H16_A0753,yes,
26,H16_A0787,yes,
27,H16_A0791,yes,
28,H16_A0913,yes,
29,H16_A0914,yes,
30,H16_A0953,yes,
31,H16_A0999,yes,
32,H16_A1035,yes,
33,H16_A1038,yes,
34,H16_A1039,yes,
35,H16_A1047,yes,
36,H16_A1050,yes,
37,H16_A1051,yes,
38,H16_A1052,yes,
39,H16_A1053,yes,
40,H16_A1055,yes,
41,H16_A1056,yes,
42,H16_A1057,yes,
43,H16_A1058,yes,
44,H16_A1063,yes,
45,H16_A1132,yes,
46,H16_A1134,yes,
47,H16_A1185,yes,
48,H16_A1186,yes,
49,H16_A1188,yes,
50,H16_A1204,yes,
51,H16_A1214,yes,
52,H16_A1216,yes,
53,H16_A1217,yes,
54,H16_A1223,yes,
55,H16_A1225,yes,
56,H16_A1370,yes,
57,H16_A1452,yes,
58,H16_A1456,yes,
59,H16_A1457,yes,
60,H16_A1475,yes,
61,H16_A1547,yes,
62,H16_A1550,yes,
63,H16_A1569,yes,
64,H16_A1681,yes,
65,H16_A1682,yes,
66,H16_A1906,yes,
67,H16_A1973,yes,
68,H16_A2028,yes,
69,H16_A2030,yes,
70,H16_A2042,yes,
71,H16_A2043,yes,
72,H16_A2045,yes,
73,H16_A2049,yes,
74,H16_A2051,yes,
75,H16_A2053,yes,
76,H16_A2066,yes,
77,H16_A2069,yes,
78,H16_A2086,yes,
79,H16_A2265,yes,
80,H16_A2324,yes,
81,H16_A2325,yes,
82,H16_A2335,yes,
83,H16_A2345,yes,
84,H16_A2354,yes,
85,H16_A2364,yes,
86,H16_A2368,yes,
87,H16_A2403,yes,
88,H16_A2445,yes,
89,H16_A2446,yes,
90,H16_A2452,yes,
91,H16_A2454,yes,
92,H16_A2508,yes,
93,H16_A2525,yes,
94,H16_A2546,yes,
95,H16_A2552,yes,
96,H16_A2568,yes,
97,H16_A2611,yes,
98,H16_A2618,yes,
99,H16_A2627,yes,
100,H16_A2629,yes,
101,H16_A2630,yes,
